listing_id,price_eur,area_sqm,bedrooms,location,description,facts_reviewer,media_reviewer,review_notes,editor_path,review_status,issues,required_editor_fields,public_gallery_assets,public_gallery_sample,missing_alt_text_assets
MS-CRAWL-0001,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0001,needs_facts_review,missing_area,area_sqm,17,"https://makler-realty.com/wp-content/uploads/2024/12/815-2-680x451.jpg [alt: Авторемонтна работилница, мотел и ведомствена бензиностанция – дългосрочен наем!]|https://makler-realty.com/wp-content/uploads/2024/12/815-1.jpg [alt: Авторемонтна работилница, мотел и ведомствена бензиностанция – дългосрочен наем!]|https://makler-realty.com/wp-content/uploads/2024/12/815-2.jpg [alt: Авторемонтна работилница, мотел и ведомствена бензиностанция – дългосрочен наем!]",0
MS-CRAWL-0002,,,,,,,,Review public gallery: currently 2 public asset(s).,/admin/listings/edit?listingId=MS-CRAWL-0002,needs_facts_and_media_review,missing_area|thin_public_gallery,area_sqm|public_gallery,2,https://makler-realty.com/wp-content/uploads/2025/08/907-dron-1-680x383.jpg [alt: Апартаменти в парка на Сандански. Затворен комплекс]|https://makler-realty.com/wp-content/uploads/2025/08/907-dron-1.jpg [alt: Апартаменти в парка на Сандански. Затворен комплекс],0
MS-CRAWL-0003,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0003,needs_facts_review,missing_area,area_sqm,14,https://makler-realty.com/wp-content/uploads/2025/10/922-2-680x510.jpg [alt: Тристаен апартамент под наем в Сандански + паркомясто]|https://makler-realty.com/wp-content/uploads/2025/10/922-1.jpg [alt: Тристаен апартамент под наем в Сандански + паркомясто]|https://makler-realty.com/wp-content/uploads/2025/10/922-2.jpg [alt: Тристаен апартамент под наем в Сандански + паркомясто],0
MS-CRAWL-0004,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0004,needs_facts_review,missing_area,area_sqm,8,"https://makler-realty.com/wp-content/uploads/2025/08/905-2-680x510.jpg [alt: Апартамент под наем, ул.Банска 2, гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/905-1.jpg [alt: Апартамент под наем, ул.Банска 2, гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/905-2.jpg [alt: Апартамент под наем, ул.Банска 2, гр.Сандански]",0
MS-CRAWL-0005,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0005,needs_facts_review,missing_area,area_sqm,8,https://makler-realty.com/wp-content/uploads/2025/07/899-2-680x510.jpg [alt: Апартамент под наем в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/07/899-1.jpg [alt: Апартамент под наем в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/07/899-2.jpg [alt: Апартамент под наем в гр.Сандански],0
MS-CRAWL-0006,,,,,,,,Review public gallery: currently 1 public asset(s).,/admin/listings/edit?listingId=MS-CRAWL-0006,needs_facts_and_media_review,missing_area|thin_public_gallery,area_sqm|public_gallery,1,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Дава под наем промишлена сграда в Сандански],0
MS-CRAWL-0007,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0007,needs_facts_review,missing_area,area_sqm,6,https://makler-realty.com/wp-content/uploads/2025/09/911-2-680x514.jpg [alt: Продава двустаен апартамент в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/09/911-2.jpg [alt: продажба на апартаменти в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/09/911-5.jpg [alt: продажба на апартаменти в гр.Сандански],0
MS-CRAWL-0008,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0008,needs_facts_review,missing_area,area_sqm,17,https://makler-realty.com/wp-content/uploads/2023/06/662-4-680x510.jpg [alt: Двустаен апартамент в центъра на Сандански – наем]|https://makler-realty.com/wp-content/uploads/2023/06/662-4.jpg [alt: Двустаен апартамент в центъра на Сандански – наем]|https://makler-realty.com/wp-content/uploads/2018/07/662.jpg [alt: Двустаен апартамент в центъра на Сандански – наем],0
MS-CRAWL-0009,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0009,needs_facts_review,missing_area,area_sqm,8,https://makler-realty.com/wp-content/uploads/2026/06/957-1-680x510.jpg [alt: Двустаен апартамент под наем в парка на Сандански]|https://makler-realty.com/wp-content/uploads/2026/06/957-1.jpg [alt: Двустаен апартамент под наем в парка на Сандански]|https://makler-realty.com/wp-content/uploads/2026/06/957-8.jpg [alt: Двустаен апартамент под наем в парка на Сандански],0
MS-CRAWL-0010,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0010,needs_facts_review,missing_area,area_sqm,16,https://makler-realty.com/wp-content/uploads/2026/06/987-main-1-510x680.jpg [alt: Двустаен апартамент в идеалния център на гр. Сандански]|https://makler-realty.com/wp-content/uploads/2024/05/987-16.jpeg [alt: Двустаен апартамент в идеалния център на гр. Сандански]|https://makler-realty.com/wp-content/uploads/2024/05/987-14.jpeg [alt: Двустаен апартамент в идеалния център на гр. Сандански],0
